formula,Density Score,Peak Score
Lu8Te,1.000,0.910
NdSc3,0.991,0.720
Rb4Br2O,0.990,0.948
K4Br2O,0.990,0.944
Na4Br2O,0.990,0.939
LiSc2Pt,0.983,0.680
LiZr2Re,0.983,0.673
Sm2O,0.980,0.858
NaTl2InF6,0.968,0.829
Ce3GaBr3,0.968,0.791
Eu,0.968,0.959
CsCa3,0.967,0.970
Ba,0.967,0.968
RbCa3,0.967,0.969
BaSr3,0.967,0.972
Ca3PCl3,0.967,0.895
SmLu3,0.961,0.886
U2Ti,0.960,0.721
CeY3,0.960,0.889
Ho6MnBi2,0.959,0.833
Li2ZrN2,0.958,0.831
Y,0.958,0.882
Na5BiO5,0.957,0.872
Li6PS5I,0.956,0.869
BaNa2,0.955,0.972
Rb3Na,0.955,0.983
Rb,0.955,0.983
Ho2C,0.954,0.842
Li3Th,0.954,0.952
Li3Sm,0.953,0.950
Y2C,0.953,0.845
LiTm3,0.953,0.927
Ba3ZnN2O,0.953,0.805
Sr6Cu3N5,0.952,0.820
Er,0.952,0.888
Pu,0.950,0.777
NaEr3,0.950,0.906
RbAsF6,0.950,0.914
Ba3FeN3,0.950,0.828
Ca3MnN3,0.949,0.811
LiAc2Si,0.949,0.882
Ca3GaN3,0.948,0.804
Sr3(GeN)2,0.948,0.807
Sr2ZnN2,0.948,0.821
Tb2Tl,0.948,0.857
Dy3Y,0.947,0.891
NdDy3,0.946,0.893
PrDy3,0.946,0.894
Rb7Au5O2,0.945,0.959
Sm2Tl,0.944,0.861
Y2Al,0.944,0.865
Sr3IrN3,0.941,0.810
Ca4VN4,0.941,0.781
Ca4ZrN4,0.940,0.784
Sr4TiN4,0.940,0.785
Sr3CrN3,0.940,0.807
Ca5(AlSb3)2,0.940,0.799
TmTh3,0.939,0.899
Na6ZnS4,0.938,0.836
La3Er,0.937,0.905
Ac,0.935,0.848
Ac3Th,0.935,0.850
Ba5Al5Pb,0.935,0.894
La,0.935,0.904
Ba5Al5Sn,0.934,0.895
SmTh3,0.934,0.883
Sc6FeSb2,0.933,0.726
Hf6NiSb2,0.933,0.715
Zr6CoAs2,0.933,0.723
Li3NbO4,0.932,0.845
Li3VO4,0.932,0.842
LiH6ClO7,0.932,0.926
KNaTiO3,0.932,0.757
Li2VO2F,0.932,0.752
Li2TiO3,0.932,0.770
Li2VO3,0.932,0.752
Na8Ti5O14,0.932,0.688
Ca5Zn3,0.931,0.934
Pr2TeO2,0.931,0.723
Sr(GaTe2)2,0.931,0.757
Ca4Mg4Fe3H22,0.930,0.840
TmHfCo2,0.930,0.684
Hf(Te2Cl3)2,0.930,0.937
Ce(Re2Si)2,0.929,0.410
LiFe2F6,0.929,0.848
LiAg2F6,0.929,0.852
Na3AgO2,0.928,0.880
Cs4ZnO3,0.928,0.908
Li5SbS,0.928,0.912
Ho2AlSi2,0.926,0.778
Tb2Si3,0.926,0.753
TmScHg2,0.926,0.854
Th2Ge,0.926,0.797
Li6IrN4,0.926,0.791
Na6MoN4,0.926,0.781
KLiZnO2,0.926,0.856
Li6MoN4,0.926,0.775
Rb2CdO2,0.926,0.909
Ba(PdO2)2,0.926,0.618
Li2MnO2,0.925,0.843
Pt(SCl3)2,0.920,0.968
UF6,0.912,0.972
RuF6,0.911,0.982
KLiSe,0.909,0.945
Li3Cd,0.893,0.950
Na3Tl,0.893,0.945
Na3Sn,0.892,0.947
Na3Hg,0.892,0.959
Rb3Sb,0.890,0.972
K3Sn,0.889,0.964
K3Hg,0.888,0.975
K3As,0.888,0.969
K3Cd,0.887,0.974
CrOF3,0.886,0.940
K3P,0.886,0.967
Rb3Cd,0.885,0.975
CsK2Sb,0.885,0.972
Li2MnBr4,0.880,0.945
TiI4,0.877,0.978
SmI3,0.870,0.995
NdI3,0.870,0.990
DyBr3,0.869,0.989
AcBr3,0.869,0.966
HoI3,0.868,0.965
PrBr3,0.868,0.969
YBr3,0.867,0.995
HfBr3,0.866,0.999
MoBr3,0.865,0.983
RbHS,0.861,0.946
CsTeAu,0.851,0.952
Na2H6Pt,0.843,0.941
Rb2TiCl6,0.842,0.971
PdF4,0.841,0.953
MgWF6,0.839,0.940
Cs2PtI6,0.837,0.986
Cs2PdI6,0.837,0.985
Rb2PdBr6,0.836,0.983
Cs2PtCl6,0.835,0.975
Rb2PdCl6,0.835,0.974
K2PtCl6,0.835,0.971
Rb2WBr6,0.833,0.982
Rb2H6Pt,0.833,0.957
HF,0.830,0.987
K2GeF6,0.825,0.962
Rb2GeF6,0.825,0.965
Rb2SnBr6,0.825,0.981
Cs2PbCl6,0.824,0.974
H5CNO2,0.822,0.979
Cs2TeI6,0.820,0.984
CsF,0.820,0.957
SF6,0.820,0.986
H2,0.818,0.983
BiF5,0.817,0.962
TeF4,0.817,0.962
NaF,0.811,0.941
KNaICl,0.809,0.971
RbI,0.809,0.975
KBr,0.807,0.965
LiBr,0.807,0.955
SnF4,0.807,0.965
CsKICl,0.806,0.974
NbTe4,0.801,0.967
SbF3,0.790,0.972
BCl3,0.788,0.997
AsCl3,0.782,0.987
AsBr3,0.777,1.000
SbI3,0.769,0.976
InCl3,0.769,0.962
Rb3BAs2,0.767,0.944
SeCl,0.742,0.966
Tl2WCl6,0.735,0.942
KAgCl3,0.720,0.946
KCuCl3,0.720,0.947
CsCoCl3,0.719,0.960
RbMnBr3,0.704,0.964
Cs2ICl6F,0.686,0.957
K2SBrCl6,0.685,0.956
Cs2SCl6F,0.683,0.957
Te,0.683,0.945
Mo(WSe3)2,0.663,0.941
CsTiBr3,0.661,0.964
HgIBr,0.570,0.992
NiBr2,0.562,0.988
FeBr2,0.559,0.984
MnBr2,0.557,0.985
CuBr2,0.557,0.966
Ga2HgTe4,0.449,0.941
