formula,prediction,density,Density Score
TaMoN,297.257,8.517,1.000
UB2Os3,266.967,6.909,0.981
MoN,336.797,14.964,0.980
ReB2,347.703,16.313,0.978
Cr2N,278.263,8.600,0.977
B2W,342.717,16.274,0.973
TaN,334.895,15.393,0.973
HfCo3B2,247.550,6.468,0.963
Co(BW)2,310.894,14.098,0.958
PuOs2,258.021,8.187,0.958
LiIr3,239.871,6.483,0.954
Nb4N3,277.499,10.810,0.953
B2Mo,324.138,16.104,0.953
BMo,313.465,14.968,0.952
DyB2Ir3,237.701,7.421,0.942
PrB2Ir3,228.948,7.153,0.934
CrWN2,295.537,15.020,0.931
TaB2,298.752,15.550,0.929
Ta3N5,265.275,11.778,0.929
B2Ru,302.985,16.375,0.926
YB2Ru3,222.840,7.455,0.924
V2C,230.567,8.522,0.922
Ni(BMo)2,281.471,14.380,0.921
LiNbIr2,211.179,6.424,0.921
Nb2C,225.942,8.388,0.918
U(Cr3P2)2,219.136,7.908,0.915
LuTaOs2,210.233,7.131,0.913
TaCuN2,213.707,7.833,0.909
NbCrSi,217.729,8.647,0.906
PuRu2,212.600,8.190,0.904
SmB2Rh3,203.556,7.284,0.903
Ce(Re2Si)2,190.202,5.789,0.903
AlCr3B4,250.204,12.628,0.902
HoNbOs2,201.468,7.158,0.902
LuOs2,211.393,8.331,0.901
Cr3GaN,224.702,9.898,0.901
SiMo3,256.298,14.287,0.892
ErTaRu2,192.598,7.220,0.891
Hf2N,200.416,8.191,0.890
CoMoP,257.014,14.657,0.889
V2CN,260.916,15.282,0.888
LiSi2N3,181.289,6.314,0.887
Ti3B4,236.088,12.537,0.887
YTaRu2,187.918,7.221,0.885
V2P,197.910,8.569,0.883
Ta5Si3,202.563,9.120,0.883
MgTaN2,190.281,7.828,0.882
Ti2N,193.523,8.239,0.882
ScCoC2,187.214,7.535,0.881
V2O3,223.363,11.675,0.881
HoTaRu2,184.169,7.241,0.881
Hf2Al4C5,191.255,8.205,0.879
V3AsC,206.211,9.968,0.879
LaOs2,190.207,8.204,0.878
YNbRu2,180.300,7.216,0.877
ErRu3,184.613,7.746,0.876
LiZr2Re,128.939,1.486,0.876
TmNbRu2,178.878,7.165,0.875
ZrNbP,183.950,7.798,0.875
NbCrGe,188.349,8.680,0.871
Ta3Sb,186.385,8.500,0.870
Pr2(ReB2)3,196.035,9.603,0.870
Zr5N5O2,204.226,10.545,0.870
TiNbN2,246.500,15.417,0.869
DyB2Rh2C,198.610,10.092,0.868
Zr3N4,218.234,12.520,0.866
MgTiN2,175.327,7.795,0.865
HoSi2Rh3,172.974,7.537,0.865
PW,237.308,14.913,0.864
DyRh3C,195.768,10.224,0.864
NdSi2Rh3,169.095,7.233,0.863
TbB2Rh2C,193.472,10.132,0.862
CaAl2O4,161.130,6.574,0.861
LiTiRh2,159.602,6.441,0.860
PrRe2,176.793,8.401,0.860
Sm2AlNO3,157.724,6.274,0.860
MnNbP,227.008,14.379,0.857
ThB6,182.813,9.650,0.854
Ti2C,167.499,8.320,0.850
LaB6,178.437,9.708,0.849
LaOsN3,190.735,11.221,0.847
TaBe2,173.601,9.286,0.847
Pr2AlNO3,147.547,6.336,0.847
PaB3,185.054,10.598,0.847
LaWN3,189.827,11.197,0.847
YAl3O6,183.847,10.592,0.846
CeRu2,162.795,8.227,0.846
HfPRu,210.436,13.642,0.845
DyInPt4,167.285,8.809,0.845
TbInPt4,166.711,8.757,0.845
PrRh3C,174.117,9.626,0.844
U2Ti,118.140,3.309,0.844
PaO2,184.451,10.840,0.844
Cr2GeC,221.037,15.077,0.843
LiHfRh2,144.530,6.424,0.843
ScSi3Ni2,146.245,6.647,0.843
NaTi2BiO6,141.329,6.148,0.842
YRu2,166.681,9.146,0.841
LiZrPt2,140.564,6.437,0.838
CeBPt3,170.515,9.893,0.838
