formula,prediction,density,Peak Score
CrOF3,96.958,9.239,1.000
UO3,149.798,10.419,0.978
SbF3,51.528,16.963,0.959
LiBO2,108.159,12.641,0.954
Na2Pd3O4,74.140,7.548,0.938
Li2O2,106.547,17.347,0.934
KCrF3,70.862,27.315,0.922
HF,24.236,13.789,0.920
Li2SiO3,97.925,10.126,0.920
Li2GeN2,85.310,6.338,0.918
FeF2,143.353,33.570,0.915
Ge3(BiO3)4,124.052,34.707,0.914
GeF2,69.932,25.418,0.911
CaB2,116.306,15.224,0.907
AsBr3,3.012,17.977,0.901
H5CNO2,13.446,14.386,0.900
YCo3,128.513,19.491,0.898
YBr3,7.037,10.790,0.898
HfBr3,3.414,10.906,0.898
K2GeF6,28.793,14.161,0.897
EuClO,49.008,11.748,0.895
BCl3,2.236,17.133,0.894
HgIBr,5.246,34.624,0.893
Li3Th,37.173,3.847,0.893
Li2Pt,69.868,6.602,0.892
NiH,181.062,18.916,0.890
SmI3,3.919,10.530,0.890
NiHO2,148.735,26.678,0.889
DyBr3,5.801,10.596,0.889
MnBr2,9.654,35.649,0.889
Rb2GeF6,22.104,14.195,0.888
ScF3,124.676,10.400,0.887
NaF,43.312,15.284,0.887
Rb2WBr6,10.689,13.504,0.887
Rb2PdBr6,10.131,13.271,0.886
Rb3Na,8.693,3.718,0.886
Cs2PtI6,6.851,13.176,0.885
NaLiO,57.324,7.439,0.884
Cs2TeI6,6.337,14.541,0.884
Rb2SnBr6,9.118,14.198,0.884
NdI3,4.756,10.555,0.884
UF6,12.335,7.196,0.883
FeBr2,7.654,35.484,0.883
Er2Pt,88.473,8.916,0.883
Lu8Te,58.641,0.117,0.883
NiBr2,5.884,35.251,0.882
CsKICl,11.368,15.673,0.882
RbI,10.453,15.431,0.881
Rb,6.625,3.718,0.881
Cs2PdI6,5.866,13.210,0.881
CsK2Sb,11.958,9.341,0.881
PrBr3,15.199,10.695,0.880
BaNa2,14.866,3.712,0.879
K3As,12.752,9.144,0.879
ScBi3,55.127,13.036,0.879
AsCl3,3.264,17.607,0.879
K3Hg,13.020,9.104,0.879
K3Cd,13.011,9.148,0.879
KNaICl,13.154,15.426,0.878
Sn4Bi2Se7,30.564,38.405,0.878
Cs2PbCl6,10.701,14.266,0.878
RuF6,6.231,7.284,0.877
RbMnBr3,16.325,23.861,0.877
Rb3Cd,9.245,9.333,0.877
SF6,6.301,14.587,0.876
BaSr3,13.696,2.787,0.875
Rb7Au5O2,21.067,4.557,0.874
CsF,20.416,14.560,0.874
Rb2PdCl6,11.690,13.354,0.874
LiCaRh,63.162,6.629,0.873
Cs2PtCl6,10.509,13.348,0.873
H2,5.386,14.748,0.873
Rb3Sb,8.801,8.979,0.873
AcBr3,14.012,10.632,0.872
CsCoCl3,17.809,22.653,0.872
K2PtCl6,12.778,13.356,0.872
CsCa3,13.233,2.774,0.871
Rb2TiCl6,12.544,12.821,0.871
Li2NbF6,44.637,12.937,0.871
SnF4,18.577,15.642,0.870
CsTiBr3,13.224,27.335,0.870
K3Sn,12.256,9.035,0.869
SrLiN,60.252,8.239,0.869
PbClF,49.073,25.672,0.869
SbI3,0.992,18.670,0.869
KBr,11.789,15.572,0.869
TiSe2,44.522,24.905,0.868
MoBr3,3.624,10.978,0.868
RbCa3,11.346,2.786,0.867
K3P,8.785,9.296,0.866
Eu,17.804,2.711,0.865
SeCl,12.100,20.815,0.864
Li3Sm,23.685,3.848,0.864
Li3InN2,99.503,20.586,0.864
Cs2ICl6F,15.308,25.338,0.864
NbSe2,35.861,25.869,0.864
Pt(SCl3)2,8.152,6.510,0.863
LiTm3,36.637,3.875,0.863
Cs2SCl6F,15.344,25.535,0.862
TiI4,5.795,10.027,0.862
