formula,prediction,density,Peak Score
WO2,307.151,27.686,1.000
Re3W,364.842,34.247,0.902
B2W,335.711,16.274,0.887
TaN,322.657,15.393,0.885
Ir,349.774,31.333,0.874
BOs,327.504,31.677,0.858
SiIr3,293.694,44.763,0.854
ReB2,334.476,16.313,0.840
TaMoN,304.013,8.517,0.836
IrO2,279.068,31.138,0.833
TaB2,300.855,15.550,0.828
MoN,337.358,14.964,0.826
Re3Ru,354.942,38.439,0.824
B2Mo,318.505,16.104,0.820
UB2Os3,282.145,6.909,0.814
MnIr,257.513,73.835,0.801
Re3Pt,343.897,38.968,0.795
Co(BW)2,320.769,14.098,0.791
CoW,291.174,41.393,0.774
Co3W,273.797,37.226,0.761
BMo,316.356,14.968,0.760
Co2Mo3N,285.317,27.885,0.756
V2O3,222.851,11.675,0.754
NiN,254.366,25.419,0.752
MnB4,241.447,27.184,0.749
IrW,319.320,40.237,0.748
CoN,268.992,25.533,0.745
Ta3N5,285.595,11.778,0.738
Ru3W,317.640,32.897,0.738
FeRe,282.817,41.387,0.731
TaMn2,256.558,25.932,0.731
TaTiOs2,271.009,45.317,0.726
NbIr3,301.120,34.265,0.719
HfCo3B2,249.885,6.468,0.718
TaCr2,247.650,29.054,0.709
Si3N4,216.174,28.615,0.706
B12W,249.320,23.166,0.706
Ta2MnOs,251.671,46.868,0.705
MnSiIr,229.719,47.730,0.705
CoMoP,254.650,14.657,0.704
Ta2Co,220.532,29.616,0.698
PuOs2,250.957,8.187,0.696
Rh3W,290.652,31.881,0.693
Ta2Ni,212.539,30.029,0.692
NiH,184.507,18.916,0.692
TaAlOs2,269.289,47.843,0.689
Ta2OsW,267.063,39.582,0.688
B2Ru,297.878,16.375,0.685
SiMo3,258.141,14.287,0.684
ZrSiO,189.252,13.119,0.680
PaB3,189.816,10.598,0.680
Nb4N3,258.689,10.810,0.678
UO3,161.695,10.419,0.675
LiIr3,229.815,6.483,0.675
Ni(BMo)2,290.900,14.380,0.673
ZrOs2,273.849,42.692,0.671
Cr2N,271.842,8.600,0.670
V2ReOs,267.719,40.370,0.667
Mn2Nb,238.037,23.077,0.665
W,296.904,33.665,0.659
Fe3Re,246.493,36.679,0.656
CoPt3,234.348,55.924,0.653
TaFeRu2,245.936,49.322,0.649
Mg(MoO2)2,171.262,13.951,0.649
HfPRu,214.983,13.642,0.649
MoPt2,257.519,31.621,0.642
Ta2VOs,251.239,38.304,0.641
VSiRu2,251.917,41.621,0.640
Cr3Co,234.161,33.133,0.640
Ta2O5,191.109,16.977,0.637
TaBeRu2,247.520,46.519,0.635
AlPt3,222.497,57.099,0.635
Mn5Si3,196.918,44.714,0.634
DyB2Ir3,236.944,7.421,0.633
TaNi2,231.871,27.781,0.633
Be2IrPt,228.298,79.385,0.631
C,208.271,27.742,0.630
VPt3,251.823,31.957,0.629
MnNbP,223.465,14.379,0.628
AlOs,233.075,80.365,0.625
PuN,198.694,12.474,0.622
V3Re,242.716,34.398,0.620
Mn2AlB2,207.034,23.224,0.619
CoPt,218.774,68.335,0.618
LuOs2,213.108,8.331,0.616
ThB2C,173.634,10.583,0.616
Ta5Si3,213.506,9.120,0.616
MnPt3,216.692,55.145,0.616
AlPt2,204.925,58.917,0.614
YAl3O6,183.824,10.592,0.614
PaO2,192.196,10.840,0.613
HfTaRe2,247.746,42.805,0.611
NbPt3,245.538,32.505,0.611
PrB2Ir3,226.701,7.153,0.610
Cr3Ni,228.308,33.277,0.610
Be2B,179.966,23.185,0.609
FeF2,148.671,33.570,0.608
Li(Co3P2)2,189.990,20.903,0.608
ZnPt3,211.486,55.187,0.606
TiZnIr2,223.157,50.165,0.606
