formula,Density Score,Peak Score
UB2Os3,2.813,2.525
ReB2,2.742,2.776
TaMoN,2.694,2.284
Cr2N,2.662,2.008
B2W,2.624,2.705
TaN,2.614,2.755
MoN,2.614,2.269
HfCo3B2,2.605,2.206
BMo,2.596,2.202
B2Mo,2.525,2.474
LiIr3,2.489,2.121
Co(BW)2,2.488,2.092
Nb4N3,2.464,2.165
DyB2Ir3,2.441,1.768
PrB2Ir3,2.400,1.723
TaB2,2.371,2.512
B2Ru,2.370,1.884
PuOs2,2.369,1.830
CrWN2,2.333,1.698
Ta3N5,2.314,1.815
YB2Ru3,2.308,1.349
Ir,2.292,2.705
Ni(BMo)2,2.280,1.668
LiNbIr2,2.261,1.507
AlCr3B4,2.253,1.600
Re3W,2.253,2.650
Nb2C,2.179,1.265
V2C,2.157,1.076
LuTaOs2,2.156,1.527
BOs,2.153,2.734
NbCrSi,2.122,1.350
U(Cr3P2)2,2.116,0.972
SiMo3,2.106,1.855
HoNbOs2,2.104,1.313
Re3Ru,2.094,2.359
SmB2Rh3,2.086,1.240
PuRu2,2.085,1.200
Ce(Re2Si)2,2.084,0.907
CoMoP,2.060,1.973
LuOs2,2.045,1.546
Re3Pt,2.028,2.286
Cr3GaN,2.022,1.113
Ta5Si3,2.018,1.553
TaCuN2,2.003,1.375
TiNbN2,1.997,1.365
Ti3B4,1.980,1.061
Ru3W,1.970,2.016
MgTaN2,1.966,1.286
PW,1.964,0.869
Hf2N,1.961,1.492
V2P,1.948,0.776
ErTaRu2,1.946,1.097
LiZr2Re,1.944,0.599
NbIr3,1.917,2.131
LaOs2,1.909,1.116
V2CN,1.905,1.236
HoTaRu2,1.902,0.976
Pr2(ReB2)3,1.901,1.681
W,1.893,1.909
ErRu3,1.892,1.063
NbCrGe,1.879,0.914
YTaRu2,1.863,0.955
Rh3W,1.860,1.944
IrW,1.851,2.122
WO2,1.841,3.209
TmNbRu2,1.838,0.913
Hf2Al4C5,1.816,1.421
MnNbP,1.815,1.650
DyB2Rh2C,1.813,1.135
YNbRu2,1.809,0.803
Ti2N,1.809,0.980
V3AsC,1.807,0.673
ZrNbP,1.806,0.887
PaB3,1.797,2.393
HfPRu,1.791,1.785
ScCoC2,1.787,1.085
V2O3,1.785,2.187
DyRh3C,1.783,1.170
Ta3Sb,1.777,1.531
HoSi2Rh3,1.774,0.681
Zr3N4,1.772,1.029
Zr5N5O2,1.771,1.490
TbB2Rh2C,1.765,1.040
MgTiN2,1.763,0.854
LiSi2N3,1.762,1.397
LiTiRh2,1.760,0.708
PaO2,1.748,1.736
CrO,1.739,1.999
TaBe2,1.733,1.507
LaWN3,1.733,1.552
IrO2,1.718,2.623
NdSi2Rh3,1.709,0.575
Cr2GeC,1.701,0.825
YAl3O6,1.697,1.929
B12W,1.690,1.956
Co2Mo3N,1.683,1.826
Nb4AlC3,1.682,1.256
CaAl2O4,1.681,1.591
ThB6,1.678,1.094
Sm2AlNO3,1.675,1.191
TaMn2,1.620,2.052
MoPt2,1.603,1.738
CoN,1.600,1.817
SiIr3,1.576,2.713
Co3W,1.575,2.262
UO,1.572,1.821
Mn2Nb,1.570,1.798
CoW,1.566,2.218
VPt3,1.542,1.661
NiN,1.536,2.033
TaCr2,1.524,2.060
ZrSiO,1.513,2.069
NbPt3,1.511,1.666
FeRe,1.509,2.045
V2ReOs,1.507,1.866
SiC,1.496,1.859
Ta2OsW,1.481,1.941
Y4Al2O9,1.479,1.743
Fe3Re,1.462,2.040
ZrOs2,1.411,1.748
TaTiOs2,1.399,2.130
Mg(MoO2)2,1.398,2.316
MnB4,1.368,2.044
Ta2VOs,1.348,1.653
VRu,1.331,1.743
ZrSiO4,1.329,1.689
VSiRu2,1.323,1.757
TaAlOs2,1.316,1.906
Si3N4,1.292,2.223
UO3,1.289,2.296
Li(Co3P2)2,1.256,1.671
NiH,1.229,2.326
Ta2Co,1.221,2.005
YWO3,1.220,1.661
Ta2MnOs,1.206,2.076
Be2B,1.201,2.001
TaBeRu2,1.198,1.725
Ta2Ni,1.191,2.129
TaFeRu2,1.138,1.789
MnSiIr,0.993,2.149
CoPt3,0.955,1.871
BP,0.925,1.665
Rh2O3,0.878,1.685
MnPt3,0.825,1.750
MnIr,0.777,2.468
AlPt3,0.774,1.688
NiHO2,0.685,2.000
Mn5Si3,0.647,1.725
AlOs,0.638,1.777
CrOF3,0.631,1.818
AlPt2,0.619,1.723
CoPt,0.593,1.689
Be2IrPt,0.580,1.761
Be2Fe,0.532,1.659
FeF2,0.463,2.053
Mg(GaO2)2,0.379,1.821
