formula,Density Score,Peak Score
Re3W,2.698,2.698
Ir,2.692,2.692
Re3Ru,2.655,2.655
ReB2,2.607,2.607
BOs,2.578,2.578
Re3Pt,2.572,2.572
B2W,2.545,2.545
IrW,2.541,2.541
TaN,2.490,2.490
B2Mo,2.481,2.481
BMo,2.477,2.477
MoN,2.449,2.449
Ru3W,2.435,2.435
NbIr3,2.336,2.336
Co(BW)2,2.284,2.284
TaB2,2.282,2.282
B2Ru,2.252,2.252
Rh3W,2.248,2.248
SiIr3,2.238,2.238
WO2,2.237,2.237
IrO2,2.201,2.201
CoW,2.173,2.173
FeRe,2.168,2.168
TaMoN,2.153,2.153
W,2.120,2.120
V2ReOs,2.086,2.086
TaTiOs2,2.074,2.074
CrWN2,2.068,2.068
UB2Os3,2.068,2.068
Cr2N,2.043,2.043
ZrOs2,2.043,2.043
Ni(BMo)2,2.039,2.039
Co3W,2.034,2.034
Ta3N5,2.006,2.006
Ta2OsW,2.002,2.002
Nb4N3,2.002,2.002
TaAlOs2,1.971,1.971
Fe3Re,1.961,1.961
CoN,1.946,1.946
AlCr3B4,1.936,1.936
SiMo3,1.934,1.934
MnIr,1.928,1.928
CoMoP,1.922,1.922
B12W,1.920,1.920
VRu,1.892,1.892
MoPt2,1.889,1.889
VSiRu2,1.882,1.882
SiOs,1.875,1.875
VPt3,1.871,1.871
TaBeRu2,1.870,1.870
TaFeRu2,1.863,1.863
HfCo3B2,1.858,1.858
ScOs3,1.856,1.856
NbPt3,1.844,1.844
HfTaRe2,1.830,1.830
PuOs2,1.815,1.815
Co2Mo3N,1.814,1.814
TaCr2,1.813,1.813
HfRu3,1.810,1.810
Ta2MoRu,1.809,1.809
AlOs,1.807,1.807
Ta2MnOs,1.804,1.804
Ta2VOs,1.785,1.785
NiN,1.783,1.783
TaMn2,1.771,1.771
CrRh3,1.761,1.761
DyB2Ir3,1.756,1.756
LiIr3,1.747,1.747
Ta2NbOs,1.744,1.744
V3Re,1.741,1.741
CoPt3,1.724,1.724
TiNbN2,1.718,1.718
MnB4,1.691,1.691
PrB2Ir3,1.684,1.684
Ta2VRu,1.678,1.678
Ta2NbIr,1.666,1.666
PW,1.666,1.666
Ti3B4,1.665,1.665
V2CN,1.662,1.662
Cr3Co,1.660,1.660
TiPt8,1.656,1.656
NbAlRu2,1.652,1.652
HfPt3,1.648,1.648
AlIr,1.648,1.648
Be2IrPt,1.642,1.642
TaZnRu2,1.638,1.638
Cr3Ni,1.626,1.626
TiZnIr2,1.624,1.624
MnNbP,1.622,1.622
Ni3Mo,1.620,1.620
TaNi2,1.619,1.619
HfOs,1.616,1.616
Mn3AlC,1.613,1.613
BeGeRu2,1.612,1.612
Mn2Nb,1.611,1.611
MnSiIr,1.611,1.611
Mn2VSi,1.606,1.606
TaCuRh2,1.606,1.606
Cr3GaN,1.603,1.603
NbPt,1.600,1.600
