formula,Density Score,Peak Score
ReB2,2.773,1.730
B2W,2.711,2.536
TaN,2.599,2.691
BMo,2.596,0.111
UB2Os3,2.593,3.141
B2Mo,2.473,1.259
Cr2N,2.450,0.201
Co(BW)2,2.444,0.166
TaMoN,2.432,1.257
MoN,2.400,-0.931
Ta3N5,2.336,1.054
B2Ru,2.317,-1.010
TaB2,2.315,2.434
Ir,2.312,1.998
Re3W,2.298,1.557
Nb4N3,2.288,1.058
CrWN2,2.256,-1.250
HfCo3B2,2.251,2.167
LiIr3,2.226,2.895
DyB2Ir3,2.133,0.696
Ni(BMo)2,2.125,-1.473
PuOs2,2.104,1.032
BOs,2.098,2.768
PrB2Ir3,2.088,0.782
SiMo3,2.031,0.925
AlCr3B4,2.023,-1.485
Re3Ru,1.982,-0.211
YB2Ru3,1.955,-0.893
CoMoP,1.904,1.437
WO2,1.897,6.828
Ti3B4,1.897,-2.132
NbCrSi,1.892,-0.150
Re3Pt,1.887,-0.375
LiNbIr2,1.885,0.693
Nb2C,1.872,-1.012
V2C,1.867,-1.935
Cr3GaN,1.853,-1.172
V2CN,1.848,-1.129
Ce(Re2Si)2,1.826,-0.396
Ru3W,1.823,-0.505
Ta5Si3,1.815,1.204
U(Cr3P2)2,1.793,-2.045
HoNbOs2,1.791,0.171
LuTaOs2,1.789,0.789
LuOs2,1.781,1.185
PuRu2,1.778,-0.627
SmB2Rh3,1.763,-0.109
TiNbN2,1.758,-1.837
TaCuN2,1.726,0.784
V2P,1.718,-2.205
MnNbP,1.707,1.425
V3AsC,1.678,-2.202
PaB3,1.648,4.832
V2O3,1.647,3.971
PW,1.641,-4.744
Hf2Al4C5,1.641,2.161
PaO2,1.637,2.832
Pr2(ReB2)3,1.635,1.897
NbIr3,1.631,-0.318
Zr3N4,1.630,-1.083
ErTaRu2,1.626,-0.176
Hf2N,1.598,0.873
HfPRu,1.589,2.000
DyB2Rh2C,1.587,-0.209
LaOs2,1.586,-0.426
YTaRu2,1.563,-0.354
Rh3W,1.562,-0.690
TbB2Rh2C,1.559,-0.348
NbCrGe,1.559,-1.515
IrO2,1.553,3.704
DyRh3C,1.551,0.043
LiSi2N3,1.550,2.356
HoTaRu2,1.547,-0.721
IrW,1.545,-0.455
ZrNbP,1.543,-0.593
Ta3Sb,1.542,2.082
Ti2N,1.536,-0.162
TmNbRu2,1.536,-0.405
Zr5N5O2,1.534,1.236
ScCoC2,1.530,0.527
YNbRu2,1.525,-0.776
TaMn2,1.522,2.392
PuN,1.514,2.344
Nb4AlC3,1.512,-0.371
W,1.511,-2.128
CrO,1.509,2.646
Co2Mo3N,1.505,0.513
MgTaN2,1.498,-0.144
B12W,1.487,1.220
ErRu3,1.484,-0.736
HoSi2Rh3,1.453,-1.461
Mn2Nb,1.449,1.584
Al2Mo3C,1.439,0.331
YAl3O6,1.437,2.754
PrRh3C,1.432,0.211
CoN,1.424,0.945
Cr2GeC,1.421,-3.012
PrRe2,1.408,-0.770
MgTiN2,1.406,-0.639
NdSi2Rh3,1.392,-1.479
ZrSiO,1.367,4.124
ThB2C,1.347,3.244
CaAl2O4,1.333,2.798
UO,1.330,2.941
Ta2O5,1.291,2.861
NiN,1.274,1.826
Y4Al2O9,1.263,3.076
MnB4,1.231,3.270
TmB2,1.211,2.601
SiIr3,1.205,4.004
YB2C,1.199,3.052
Co3W,1.191,2.042
YB2,1.169,2.043
Mg(MoO2)2,1.142,4.297
KPuO3,1.119,2.211
NiH,1.040,4.604
Li(Co3P2)2,1.040,2.057
HfGeO4,1.037,1.831
HoN,0.991,2.056
Ta2Co,0.961,2.910
Ta2Ni,0.924,3.440
Si3N4,0.920,2.502
HfH3,0.904,2.431
Be2B,0.887,2.843
LiGaO2,0.868,3.146
UO3,0.827,3.486
Er2SiO5,0.822,2.194
Sr2CuO4,0.821,1.879
NdOF,0.794,1.823
ScF3,0.717,2.560
ScH3,0.714,1.880
Li2GeN2,0.703,3.014
SmFePO,0.688,1.973
Li7SbN4,0.671,1.801
PmF3,0.641,2.250
LiCo2Ge,0.616,2.644
VCuO2,0.610,1.801
Ni3Se2,0.603,1.927
LiBO2,0.575,3.521
LuSiIr,0.568,2.111
Li2SiO3,0.562,2.850
BP,0.545,1.908
CaB2,0.532,2.945
CrOF3,0.518,3.765
Er2Pt,0.513,2.128
MgGeN2,0.484,2.375
YBiO3,0.431,2.094
Li2Pt,0.421,1.957
PaNi2Sb,0.411,1.844
NiHO2,0.403,3.381
Rh2O3,0.392,1.781
YCo3,0.372,2.756
Na2Pd3O4,0.370,2.158
YTlO2,0.368,1.780
ErTlO2,0.346,1.885
Li2O2,0.339,3.008
MnSiIr,0.318,2.838
ZnO,0.290,3.203
BeZnO2,0.241,2.356
GaAuO2,0.149,2.462
As2O3,0.146,2.557
Li3InN2,0.106,2.183
LiFeP,0.094,1.924
FeF2,0.031,3.958
ZnO2,-0.004,1.967
Mn5Si3,-0.008,1.838
InGaO3,-0.048,2.181
Ca(BeN)2,-0.155,2.200
Mg(GaO2)2,-0.215,3.283
Ge3(BiO3)4,-0.230,3.332
Tl2InGaF6,-0.256,1.824
Be2Fe,-0.267,1.822
AlPt2,-0.287,1.971
KCrF3,-0.376,2.441
AlTlO2,-0.379,2.179
MnIr,-0.481,3.971
MnZn,-1.653,1.829
Zn3Co,-1.752,2.218
