formula,prediction,density,Density Score
ReB2,342.063,16.313,2.773
B2W,335.749,16.274,2.711
TaN,320.983,15.393,2.599
BMo,318.906,14.968,2.596
UB2Os3,285.358,6.909,2.593
B2Mo,311.425,16.104,2.473
Cr2N,278.070,8.600,2.450
Co(BW)2,300.247,14.098,2.444
TaMoN,275.974,8.517,2.432
MoN,299.403,14.964,2.400
Ta3N5,279.902,11.778,2.336
B2Ru,296.983,16.375,2.317
TaB2,293.403,15.550,2.315
Ir,358.305,31.333,2.312
Re3W,369.020,34.247,2.298
Nb4N3,271.093,10.810,2.288
CrWN2,285.298,15.020,2.256
HfCo3B2,249.536,6.468,2.251
LiIr3,247.100,6.483,2.226
DyB2Ir3,241.654,7.421,2.133
Ni(BMo)2,269.679,14.380,2.125
PuOs2,242.002,8.187,2.104
BOs,338.498,31.677,2.098
PrB2Ir3,236.087,7.153,2.088
SiMo3,259.988,14.287,2.031
AlCr3B4,252.266,12.628,2.023
Re3Ru,354.934,38.439,1.982
YB2Ru3,224.121,7.455,1.955
CoMoP,248.889,14.657,1.904
WO2,301.986,27.686,1.897
Ti3B4,239.340,12.537,1.897
NbCrSi,222.796,8.647,1.892
Re3Pt,347.669,38.968,1.887
LiNbIr2,212.899,6.424,1.885
Nb2C,219.772,8.388,1.872
V2C,219.812,8.522,1.867
Cr3GaN,224.100,9.898,1.853
V2CN,245.822,15.282,1.848
Ce(Re2Si)2,204.479,5.789,1.826
Ru3W,316.163,32.897,1.823
Ta5Si3,217.088,9.120,1.815
U(Cr3P2)2,209.938,7.908,1.793
HoNbOs2,206.588,7.158,1.791
LuTaOs2,206.302,7.131,1.789
LuOs2,210.421,8.331,1.781
PuRu2,209.541,8.190,1.778
SmB2Rh3,204.305,7.284,1.763
TiNbN2,237.489,15.417,1.758
TaCuN2,202.927,7.833,1.726
V2P,205.189,8.569,1.718
MnNbP,228.113,14.379,1.707
V3AsC,207.030,9.968,1.678
PaB3,206.580,10.598,1.648
V2O3,210.968,11.675,1.647
PW,223.757,14.913,1.641
Hf2Al4C5,196.019,8.205,1.641
PaO2,206.488,10.840,1.637
Pr2(ReB2)3,201.253,9.603,1.635
NbIr3,302.733,34.265,1.631
Zr3N4,212.802,12.520,1.630
ErTaRu2,190.418,7.220,1.626
Hf2N,191.726,8.191,1.598
HfPRu,213.375,13.642,1.589
DyB2Rh2C,198.485,10.092,1.587
LaOs2,190.559,8.204,1.586
YTaRu2,184.239,7.221,1.563
Rh3W,286.052,31.881,1.562
TbB2Rh2C,195.850,10.132,1.559
NbCrGe,189.792,8.680,1.559
IrO2,282.070,31.138,1.553
DyRh3C,195.455,10.224,1.551
LiSi2N3,179.177,6.314,1.550
HoTaRu2,182.725,7.241,1.547
IrW,318.914,40.237,1.545
ZrNbP,184.571,7.798,1.543
Ta3Sb,187.368,8.500,1.542
Ti2N,185.744,8.239,1.536
TmNbRu2,181.253,7.165,1.536
Zr5N5O2,195.062,10.545,1.534
ScCoC2,182.176,7.535,1.530
YNbRu2,180.355,7.216,1.525
TaMn2,257.496,25.932,1.522
PuN,201.045,12.474,1.514
Nb4AlC3,213.723,15.587,1.512
W,288.379,33.665,1.511
CrO,205.560,13.682,1.509
Co2Mo3N,263.848,27.885,1.505
MgTaN2,180.252,7.828,1.498
B12W,242.566,23.166,1.487
ErRu3,178.532,7.746,1.484
HoSi2Rh3,174.532,7.537,1.453
Mn2Nb,238.391,23.077,1.449
Al2Mo3C,206.161,15.517,1.439
YAl3O6,185.599,10.592,1.437
PrRh3C,181.077,9.626,1.432
CoN,246.137,25.533,1.424
Cr2GeC,202.591,15.077,1.421
PrRe2,173.709,8.401,1.408
MgTiN2,170.920,7.795,1.406
NdSi2Rh3,167.303,7.233,1.392
