formula,prediction,density,Density Score
UB2Os3,286.284,6.909,2.801
LiZr2Re,123.702,1.486,2.673
HfCo3B2,252.833,6.468,2.649
TaMoN,292.989,8.517,2.648
LiIr3,240.506,6.483,2.564
Lu8Te,54.554,0.117,2.487
DyB2Ir3,243.523,7.421,2.462
Cr2N,262.505,8.600,2.449
PrB2Ir3,233.204,7.153,2.426
Ce(Re2Si)2,204.736,5.789,2.410
LiNbIr2,214.514,6.424,2.390
MoN,342.027,14.964,2.363
Nb4N3,279.742,10.810,2.335
PuOs2,234.291,8.187,2.308
TaN,336.895,15.393,2.305
LiSc2Pt,90.087,1.485,2.301
YB2Ru3,220.907,7.455,2.301
LuTaOs2,210.361,7.131,2.265
HoNbOs2,205.744,7.158,2.227
BMo,317.693,14.968,2.226
ReB2,330.125,16.313,2.204
Ta3N5,271.147,11.778,2.194
U2Ti,126.774,3.309,2.192
SmB2Rh3,202.304,7.284,2.186
B2W,325.090,16.274,2.178
NbCrSi,222.846,8.647,2.175
Nb2C,218.489,8.388,2.173
Co(BW)2,297.259,14.098,2.169
TaCuN2,206.165,7.833,2.147
V2C,215.567,8.522,2.137
Cr3GaN,233.706,9.898,2.120
B2Mo,311.427,16.104,2.111
LuOs2,207.751,8.331,2.101
Sm2O,80.493,1.713,2.100
ErTaRu2,189.950,7.220,2.099
LaOs2,202.673,8.204,2.077
U(Cr3P2)2,196.857,7.908,2.068
HoTaRu2,182.838,7.241,2.039
YTaRu2,182.458,7.221,2.039
ErRu3,190.627,7.746,2.039
PuRu2,196.895,8.190,2.035
V2P,201.655,8.569,2.028
TaB2,290.142,15.550,2.022
AlCr3B4,254.448,12.628,2.015
Ta5Si3,207.132,9.120,2.009
Ni(BMo)2,274.582,14.380,2.008
TmNbRu2,177.220,7.165,2.003
LiTiRh2,165.507,6.441,2.002
CrWN2,280.160,15.020,1.997
MgTaN2,185.660,7.828,1.989
YNbRu2,175.933,7.216,1.986
NdSc3,50.123,0.866,1.979
ZrNbP,182.973,7.798,1.972
B2Ru,290.713,16.375,1.969
CaAl2O4,163.691,6.574,1.968
Hf2N,188.058,8.191,1.966
NbCrGe,194.347,8.680,1.960
Hf2Al4C5,187.338,8.205,1.958
Ti2N,187.772,8.239,1.958
ScCoC2,175.204,7.535,1.940
HoSi2Rh3,173.692,7.537,1.927
V3AsC,206.015,9.968,1.914
NdSi2Rh3,167.312,7.233,1.912
SiMo3,256.224,14.287,1.897
LiSi2N3,150.660,6.314,1.890
Ti3B4,234.379,12.537,1.886
LiHfRh2,151.972,6.424,1.886
CoMoP,257.220,14.657,1.876
Ta3Sb,181.180,8.500,1.875
Pr2(ReB2)3,193.120,9.603,1.852
Sm2AlNO3,145.341,6.274,1.847
ScSi3Ni2,150.553,6.647,1.842
TmHfCo2,135.887,5.738,1.836
DyB2Rh2C,197.352,10.092,1.836
PaB3,202.044,10.598,1.823
MgTiN2,165.023,7.795,1.823
PaO2,204.898,10.840,1.822
PrRe2,172.169,8.401,1.812
V2O3,213.753,11.675,1.812
CeRu2,169.716,8.227,1.812
Pr2AlNO3,141.494,6.336,1.802
NaTi2BiO6,138.241,6.148,1.798
TbB2Rh2C,192.559,10.132,1.795
Zn2ReN3,149.187,6.928,1.792
LiZrPt2,141.119,6.437,1.784
DyRh3C,192.222,10.224,1.783
ThB6,183.251,9.650,1.769
Zn2MoN3,146.438,6.937,1.766
Mg2NbN3,144.546,6.888,1.755
Li2ZrN2,90.703,3.512,1.749
MnNbP,234.709,14.379,1.745
Zr3N4,213.729,12.520,1.740
VZn2N3,142.657,6.912,1.734
UO,188.156,10.511,1.723
ThB2C,188.878,10.583,1.722
V2CN,240.645,15.282,1.721
YAl3O6,186.428,10.592,1.702
Hf6NiSb2,118.772,5.511,1.700
YRu2,167.506,9.146,1.691
Zr6CoAs2,117.920,5.512,1.691
