formula,prediction,density,Peak Score
WO2,284.754,27.686,3.060
Re3W,367.640,34.247,2.983
SiIr3,306.433,44.763,2.921
Ir,353.709,31.333,2.898
TaN,323.159,15.393,2.863
B2W,326.517,16.274,2.708
ReB2,336.350,16.313,2.671
MnIr,269.401,73.835,2.618
BOs,319.162,31.677,2.584
MnB4,264.741,27.184,2.566
B2Mo,318.979,16.104,2.560
Re3Ru,355.080,38.439,2.504
TaB2,292.649,15.550,2.490
IrO2,272.527,31.138,2.475
IrW,333.830,40.237,2.411
Re3Pt,347.958,38.968,2.410
FeRe,300.271,41.387,2.404
CoW,297.211,41.393,2.403
UB2Os3,275.627,6.909,2.385
Co(BW)2,311.754,14.098,2.307
TaMoN,286.301,8.517,2.290
MoN,322.100,14.964,2.261
Si3N4,232.285,28.615,2.215
NbIr3,310.626,34.265,2.153
BMo,312.763,14.968,2.144
NiN,247.179,25.419,2.060
TaTiOs2,272.599,45.317,2.048
V2O3,215.868,11.675,2.048
Co3W,263.587,37.226,2.045
TaMn2,249.920,25.932,1.994
CoMoP,257.091,14.657,1.989
Ta2OsW,275.546,39.582,1.974
LiIr3,239.441,6.483,1.972
V2ReOs,282.194,40.370,1.971
HfCo3B2,246.370,6.468,1.962
Ru3W,310.632,32.897,1.954
Ta2MnOs,252.809,46.868,1.943
Fe3Re,256.743,36.679,1.915
Co2Mo3N,268.669,27.885,1.912
PuOs2,250.400,8.187,1.900
B12W,249.875,23.166,1.898
Nb4N3,265.098,10.810,1.896
TaCr2,244.435,29.054,1.894
PaB3,194.966,10.598,1.892
MnSiIr,225.842,47.730,1.861
Rh3W,289.183,31.881,1.849
NiH,176.828,18.916,1.846
SiMo3,258.401,14.287,1.838
TaAlOs2,267.021,47.843,1.829
CoN,252.646,25.533,1.816
CoPt3,243.242,55.924,1.807
Mn2Nb,237.695,23.077,1.786
B2Ru,296.656,16.375,1.783
UO3,158.260,10.419,1.751
PaC,214.452,13.893,1.741
ZrSiO,188.130,13.119,1.739
Cr2N,269.966,8.600,1.734
Ta2Ni,204.071,30.029,1.723
Ta2Co,208.651,29.616,1.704
TaFeRu2,247.101,49.322,1.686
ZrOs2,269.602,42.692,1.666
Mg(MoO2)2,173.629,13.951,1.646
Be2IrPt,234.163,79.385,1.640
MoPt2,259.983,31.621,1.636
Fe4N,226.919,49.894,1.634
HfPRu,215.440,13.642,1.628
AlPt3,227.784,57.099,1.623
VPt3,256.820,31.957,1.617
Mn5Si3,197.723,44.714,1.616
Ni(BMo)2,278.511,14.380,1.614
Ta3N5,258.204,11.778,1.607
V3Re,249.429,34.398,1.592
Ta2VOs,252.067,38.304,1.588
NbPt3,253.287,32.505,1.581
VSiRu2,250.478,41.621,1.575
MnPt3,223.140,55.145,1.566
TaBeRu2,246.234,46.519,1.563
ThB2C,178.789,10.583,1.563
AlPt2,210.647,58.917,1.561
Cr3Co,229.845,33.133,1.557
TaNi2,228.836,27.781,1.553
AlOs,236.466,80.365,1.553
DyB2Ir3,235.529,7.421,1.550
ScOs3,261.423,37.641,1.546
UO,179.197,10.511,1.545
MnNbP,223.907,14.379,1.538
Be2B,182.817,23.185,1.504
W,289.062,33.665,1.495
CrCo2Si,222.570,39.397,1.492
ZnPt3,216.424,55.187,1.491
CoPt,221.400,68.335,1.489
Pr2(ReB2)3,201.858,9.603,1.485
LaOsN3,196.609,11.221,1.474
VRu,251.821,44.471,1.473
PrB2Ir3,227.613,7.153,1.468
LuOs2,211.937,8.331,1.455
TiZnIr2,223.922,50.165,1.452
YAl3O6,183.700,10.592,1.445
SiOs,249.123,31.513,1.441
MnPt,201.125,73.032,1.430
