formula,prediction,density,Peak Score
AsBr3,3.467,17.977,0.986
HfBr3,3.216,10.906,0.983
BCl3,2.769,17.133,0.974
SmI3,2.381,10.530,0.970
YBr3,5.556,10.790,0.966
HgIBr,5.346,34.624,0.964
DyBr3,5.702,10.596,0.956
RuF6,5.235,7.284,0.955
HF,14.272,13.789,0.943
NdI3,3.245,10.555,0.942
MoBr3,2.624,10.978,0.942
NiBr2,5.909,35.251,0.940
SF6,4.530,14.587,0.935
H2,7.138,14.748,0.935
Cs2PtI6,6.617,13.176,0.933
AsCl3,5.014,17.607,0.933
Cs2TeI6,5.588,14.541,0.932
MnBr2,9.517,35.649,0.930
Cs2PdI6,5.545,13.210,0.930
FeBr2,7.550,35.484,0.928
H5CNO2,11.129,14.386,0.925
Rb2PdBr6,9.191,13.271,0.922
Rb2SnBr6,7.696,14.198,0.922
Rb2WBr6,10.189,13.504,0.917
UF6,7.708,7.196,0.910
TiI4,3.763,10.027,0.909
Rb3Na,9.329,3.718,0.909
Rb,6.409,3.718,0.906
Pt(SCl3)2,8.153,6.510,0.903
Cs2PbCl6,10.327,14.266,0.895
RbI,11.331,15.431,0.890
HoI3,2.013,10.676,0.887
CsKICl,11.940,15.673,0.885
Cs2PtCl6,9.552,13.348,0.885
CuBr2,5.297,35.657,0.882
Rb2PdCl6,10.374,13.354,0.881
CsK2Sb,11.702,9.341,0.878
Rb3Sb,11.628,8.979,0.878
Rb2TiCl6,10.521,12.821,0.877
Rb3Cd,11.714,9.333,0.876
SbI3,-0.376,18.670,0.876
SeCl,11.301,20.815,0.876
InCl3,8.819,18.675,0.874
K2PtCl6,11.395,13.356,0.872
K3Hg,12.603,9.104,0.869
K3Cd,11.114,9.148,0.867
KNaICl,13.761,15.426,0.866
K3As,12.943,9.144,0.865
SnF4,15.867,15.642,0.861
BaSr3,14.376,2.787,0.860
SbF3,45.784,16.963,0.859
Rb2GeF6,23.153,14.195,0.858
K3P,10.133,9.296,0.856
BaNa2,15.102,3.712,0.855
PrBr3,13.822,10.695,0.854
KBr,12.398,15.572,0.853
NbTe4,9.969,16.080,0.853
CsCa3,14.382,2.774,0.852
RbCa3,12.295,2.786,0.849
CsTiBr3,13.421,27.335,0.847
K3Sn,13.207,9.035,0.845
Ba,9.021,2.781,0.845
PdF4,11.873,12.855,0.844
Rb7Au5O2,18.798,4.557,0.843
K2GeF6,30.331,14.161,0.841
AcBr3,17.325,10.632,0.841
RbMnBr3,18.577,23.861,0.839
BiF5,11.898,14.769,0.823
CrOF3,61.329,9.239,0.821
CsCoCl3,18.818,22.653,0.820
CsF,20.345,14.560,0.818
TeF4,13.707,14.808,0.818
CsTeAu,13.109,12.034,0.814
Eu,20.761,2.711,0.813
Cs2ICl6F,16.043,25.338,0.811
Rb2H6Pt,13.754,13.514,0.810
Cs2SCl6F,15.891,25.535,0.807
Rb4Br2O,15.917,0.946,0.806
Na3Hg,20.272,8.794,0.802
VF4,11.847,9.133,0.802
MgWF6,21.776,13.038,0.797
ZnPdF6,19.677,13.581,0.796
LiBr,18.590,15.618,0.794
K2SBrCl6,16.656,25.399,0.791
K4Br2O,11.661,0.947,0.789
Li2MnBr4,20.939,9.777,0.787
RbHS,17.522,11.274,0.785
Li3Th,41.580,3.847,0.785
Sn4Bi2Se7,28.437,38.405,0.782
Li3Sm,22.884,3.848,0.777
Tl2WCl6,10.964,21.420,0.774
CaI2,10.133,11.535,0.771
Na3Sn,18.336,8.777,0.767
Na3Tl,19.397,8.717,0.767
Hf(Te2Cl3)2,9.910,5.752,0.766
Na4Br2O,18.318,0.947,0.765
TlPF6,20.403,15.567,0.763
CoI2,8.586,36.039,0.761
Na2H6Pt,20.349,12.746,0.761
Li3Cd,26.669,8.687,0.761
