ionA,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
H,0.0,1.944522065363364,10.0,10.0,3.177161825926196,3.307081131779816,24.415469772333243,25.97274470853116,42.802450996782554,11.485921829642159,10.0,13.697633096276162,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.6591566216741283,10.0,10.0,5.634393479933608,10.0,10.0,10.0,10.0,9.803163726989887,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0241292078700996,0.9331831350872788,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.880373255091698,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.788771350752965,2.9138187724443387,2.7538661275203067,10.0,10.0,10.0
Li,1.944522065363364,0.0,2.7664433904201085,15.118106237391244,10.0,0.5963220298610028,4.838053798631307,2.561974631078438,0.26514271810083734,0.7423679200284414,0.43406732134393095,0.3378006484069736,5.508513196123638,15.774099593664571,3.8286478874671768,0.5766289375600381,0.9628490106711863,0.7063473166454398,1.2266694203632185,1.6294932558634525,5.774886425167387,0.7685116322998976,0.6277962766126811,0.7331366778568923,0.7510487430855227,1.1660167890012652,0.8599727531966744,0.6456830686079486,0.7188857040449165,0.9463714667887627,38.769163177456676,7.955883303545632,0.4666926251825459,2.8000737511742666,1.1851865987162902,1.5641875034081982,1.4316412095001698,0.7863509143255274,4.613140563105967,0.6828864496300286,1.7112055411213767,1.4553039491277313,0.3011540902589685,1.3385859088003549,0.6929696242140387,0.6551086446312021,0.8720618269861707,1.327544939840319,1.0429891281113612,1.1501391277604585,19.041748608380146,0.7059260591362294,0.5540559578858884,1.1239725099916338,0.5680217428895775,0.8629599768520833,0.8629599768520833,0.8861288609077699,0.4423540799712951,0.6561767938090463,0.4174339990888705,0.3482970279867643,0.3170849651633422,0.6552204914611963,0.41598502837002105,0.76017060133223,1.0316182998511279,1.1565581707807664,0.762808525800862,2.2858805053637536,2.4585578778981825,0.5887717186967724,0.5184090850927261,3.5849421817906975,1.9578156404570206,0.4436393332789365,2.484595335392144,1.6466754115563131
Be,10.0,2.7664433904201085,0.0,1.782024751842175,10.0,3.7675565657503296,36.53056242572774,10.0,10.0,5.537703007551229,0.40265887730257416,0.24514650923391898,0.660028577409027,0.12158027271175596,10.0,10.0,10.0,10.0,4.362009358286685,10.0,0.6250199525934913,5.027438073668554,4.868960863990092,0.9932756840679129,10.0,4.603484843907058,0.4922372477961327,1.0968457968480554,0.15713298495361222,1.7842175804134643,1.0869782908916974,10.0,10.0,10.0,10.0,4.067459596638459,10.0,3.7789945210221023,10.0,2.4416680352858084,10.0,10.0,0.3995277267177072,4.550075697454697,2.717417529877701,10.0,10.0,2.3587891878075937,10.0,10.0,10.0,9.723205283036089,10.0,6.165192733679041,7.729270793615386,6.542917317881638,6.542917317881638,10.0,6.802059766293434,10.0,10.0,6.955971297981899,10.0,10.0,10.0,10.0,10.0,10.0,5.145496553472374,10.0,10.0,10.0,10.0,10.0,2.504310600861289,10.0,10.0,10.0
B,10.0,15.118106237391244,1.782024751842175,0.0,0.09881490578196907,0.22840944857021117,10.0,10.0,44.486254737690935,8.596172006495834,0.3906441091153912,2.1257165449128883,0.7234101328121277,0.39687124922062067,0.6208993738147373,10.0,12.17456121151887,7.899654984892673,6.62707500641507,0.7846734608069997,0.3617249682371242,1.2362477266983967,2.441708889839379,10.0,2.652579527561981,3.0969593796698027,4.2836683160154765,0.8148239484876592,5.859266348153589,0.5725777083094753,1.687315542760345,10.0,10.0,10.0,1.91811614082343,4.54667328904805,10.0,8.14899957312988,10.0,10.0,10.0,10.0,0.7503174320966935,10.0,1.3740934233578164,10.0,10.0,3.4537571149225896,10.0,10.0,7.081354210440955,0.830624475621659,10.0,3.832409018911658,3.743128342461301,5.385123974399423,5.385123974399423,3.4452428674241378,10.0,6.149263230142844,2.4533230808238944,2.6837213830936153,8.70721320479426,2.7758883620786303,2.5158302351897173,1.1015980549804025,10.0,6.139269730397181,11.091943898620253,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.8079132677424425
C,3.177161825926196,10.0,10.0,0.09881490578196907,0.0,2.2849305483656144,73.73809811567833,10.0,10.0,7.928863897273194,0.35833550378447176,6.806722409372783,10.0,35.796545606610486,10.0,10.0,10.0,10.0,4.400227753162181,6.066862776696963,7.021836578243841,10.0,4.552419085383723,10.0,5.645480669008599,0.5780895770042672,7.103840093016424,10.0,10.0,10.0,2.9250948387243776,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.8997393310990716,0.3368144314261565,10.0,2.80129540690659,10.0,10.0,1.6895908983173795,10.0,32.768345863978304,3.4530950071052913,0.73994848468192,10.0,1.9830962034249424,3.1901932258050314,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.807630120779057,5.538411202734198,10.0,10.0,10.0,10.0,10.0,10.0,2.6744902060675693,10.0,2.5820494683775164,7.367193520650049,10.0,10.0
N,3.307081131779816,0.5963220298610028,3.7675565657503296,0.22840944857021117,2.2849305483656144,0.0,0.882595992305481,0.8994858527193972,1.656642072611793,1.5018526339420506,3.601675328763932,22.73010801196143,10.0,0.31994411907187503,3.216781912589666,3.548813905115318,10.0,2.615644506593962,1.1932750687721871,2.5195172282216425,4.209178428390662,2.1101634275398,1.71810289314497,10.0,2.755596386471851,1.5653640722301996,10.0,7.850704268196001,12.991520116033449,3.0152759039591377,0.23755120282292852,4.177911322641901,2.1463641480955746,10.127793756089652,1.8102536514492662,0.8836866627743915,9.227712918879343,3.3872531818608675,10.0,1.523089720885896,7.447006533945811,10.0,1.1289912415900387,11.276642034005759,6.732594835742791,2.020387801126851,6.874491293597157,4.209601852914814,1.520347419232294,4.335654852967688,8.543222821945012,2.0328179147809067,1.0225578195757223,1.3394352083271641,1.3223152317682412,1.321228227272571,1.321228227272571,2.58496468710434,1.1640614188186165,2.7885872939163807,1.512778326806626,1.5114661051799119,1.1957746676560528,2.2632609535636767,1.2077314148075502,1.7583490859085262,1.0671638042825242,9.80407627215599,17.710036567424112,4.606048027481799,10.0,10.0,10.0,10.0,3.118508476185219,1.329995269992365,3.9572852838364865,10.865450737255681
O,24.415469772333243,4.838053798631307,36.53056242572774,10.0,73.73809811567833,0.882595992305481,0.0,0.5248225979110834,19.523320561348733,8.524005902782276,363.40251537948257,302.9456332606543,487.1394688344427,1.0393318399297062,0.7231116991357722,11.780202966666064,12.938508844198543,58.18342403664742,32.412768177108816,23.580221261064374,30.29890133897465,16.810053610017302,20.94766430008822,13.37709057863633,26.0183482552472,11.757486692001018,33.848210885696325,197.41146688110496,173.19944942326887,10.0,1.1263191015751726,1.3869565434192015,41.481696764732874,134.974311193723,76.99287967308263,13.391032123060972,167.05084070721117,25.060131649530668,10.0,105.89481040537193,10.0,35.84464182365427,6.565072157168424,14.254041508687981,10.0,30.144742471190987,172.82415259674931,10.0,1.64305585422871,494.0133949269533,160.70342413830616,44.713789199688144,24.237357131215813,27.44340846136075,29.841831030941467,20.675713500144248,20.675713500144248,104.42935547039883,37.17223399656292,42.12017315244676,395.13911119288935,135.12970321831486,38.260200491126355,33.187265880524215,102.59074330570657,10.0,26.8345825812444,22.567102783030723,320.6077739469751,10.0,10.0,72.15863588279962,67.24926624023794,121.58685019372719,12.419279939555992,445.44486690281616,19.649728466595047,94.58889399326092
F,25.97274470853116,2.561974631078438,10.0,10.0,10.0,0.8994858527193972,0.5248225979110834,0.0,4.385200928391071,10.0,63.62375119003815,10.0,10.0,7.250814550625875,0.22801227688126197,9.097195481062787,165.07564370891717,107.13655900101224,10.0,10.0,10.0,10.0,116.58105081071812,10.0,10.0,9.897210722579896,10.0,10.0,10.0,10.0,46.426093115252776,0.6335651638940745,12.808103511174458,10.0,78.04633705303632,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.324803057334747,95.7687326744551,10.0,34.16940000849494,10.0,10.0,1.4389930570257345,150.208360666998,10.0,106.08574758187878,61.221773066164005,10.0,117.15723299535337,99.15710583136452,99.15710583136452,10.0,103.12046355621328,10.0,10.0,10.0,118.06165328835496,67.68665317066063,72.05260496546703,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,41.07766705317416,10.0,10.0,48.1662847126435,10.0
Na,42.802450996782554,0.26514271810083734,10.0,44.486254737690935,10.0,1.656642072611793,19.523320561348733,4.385200928391071,0.0,0.41138195526153454,0.9196717247805299,3.4244736805426026,10.326019702361618,12.18966514957534,2.333685678295837,0.39134757963995537,0.4038945197028192,0.4992586067718401,1.2672128132249645,22.465172601279587,0.621594008495159,0.554886087168662,0.633508146153748,0.8473800482576557,0.4998098364609953,6.52902506828977,0.7824795997896064,1.6997660834869006,3.743324970568285,1.9243200720251,15.14037947768587,2.277326661755118,0.6885018436075301,1.1778289861476232,0.5683700218527313,2.062864739795055,1.1816817435366442,0.31938915911022203,9.77331800823063,16.98968976230098,2.6428166519614025,1.676549686712079,0.5422728058466486,0.9611650946864236,0.4343598382788579,3.3491378605844484,0.227369732274799,2.812513230366704,4.384818625623033,1.4262235270868067,3.911433805387348,0.5578597825263296,0.6215291632116976,0.5929865502933473,0.5903979746594485,0.5545990711364437,0.5545990711364437,0.4965576186187239,0.4112896835544178,0.43729035417595813,0.35055359008092307,0.3178319517634865,0.32568052362140093,0.56500181994089,0.45241794750660597,0.42700683863051825,1.7809303196519466,0.949002017469331,0.32357929368035887,0.8572554215901926,0.5210622798311496,1.2473613501171532,1.252230719261001,0.7902779904369934,5.192117072121307,0.5159134738042327,4.24924767019729,1.500930873982219
Mg,11.485921829642159,0.7423679200284414,5.537703007551229,8.596172006495834,7.928863897273194,1.5018526339420506,8.524005902782276,10.0,0.41138195526153454,0.0,0.48627947738169075,0.6648289559382979,6.539793721869498,11.108695758957541,50.43601904682097,1.5177478615849622,0.39611734119479963,0.42897598615532123,0.50478967730484,11.372327078282288,4.3475630257973,0.13383391271245734,0.14696428353772795,0.1939976455678572,0.16532850408794778,1.5700655360721518,0.15761803103520533,0.8435782383588464,0.5250829523061034,3.614273107410382,5.6219526026382445,15.925617365002644,8.329824990234275,2.323860081133417,0.6381921305221571,0.4075190481823048,0.7872734436354557,0.3763829176829897,10.0,2.5352960240096762,0.5805896763891797,0.5392773120049781,0.7269632573167554,0.12607827174097677,0.38897693177535775,0.5208098303162507,0.3845809109808158,1.2939824082599707,18.993465367707767,21.26834443085733,6.917087077197306,2.0556746594605917,5.747093704093238,0.9858443158266589,1.051206227935282,1.170378158342368,1.170378158342368,1.676422362937687,1.6003450190256976,1.0192518227041503,1.1343219157944882,0.9075417031874142,1.1503869481978426,0.7988759536882573,0.8616879039348329,0.5769275861996841,2.6777572810257806,0.6325679552624508,0.37846777298730483,1.9817204196036742,0.902793913498502,0.7469441441240721,0.6851984776761708,1.628030855960952,0.2711555214526096,1.4395916766500017,0.9991940029630442,8.665097954885553
