formula,Density Score,Peak Score
SrLi4N2,2.649,3.027
Ca3Au,1.901,-0.132
Li7Sn2,1.852,1.136
LiErGe,1.765,0.633
LiLuPt2,1.719,0.515
Li3Au,1.704,0.525
Er2ZnRu,1.650,0.099
Rb3Mg,1.611,0.372
LiB,1.517,1.262
Yb2SbAu,1.499,0.462
Sr6Sn2NO,1.479,0.461
Yb2AgSn,1.438,0.453
Sm2AgSn,1.416,0.195
HoTmMg2,1.410,0.543
CaSmZn2,1.354,0.399
Sr3MnN3,1.349,1.321
LiTmIn2,1.322,0.548
Nd2CdIn,1.303,0.244
Ca3BiSb,1.293,-0.111
Pr2ZnHg,1.230,0.039
LiTmHg2,1.118,-0.241
NdTmTl2,1.090,-0.005
Li4UO5,0.746,0.254
SF6,0.731,1.111
Ca2MnO4,0.692,1.862
Cs2CrCl4,0.674,1.563
Al(SnO2)2,0.612,0.821
Ga2CoS4,0.565,0.774
Cr2FeS4,0.458,0.956
Rb2Cr(BrCl)2,0.415,0.943
CrPO4,0.413,-0.175
Sm2Zr2O7,0.338,0.930
Na2Hf2O5,0.309,0.471
ThSiO4,0.284,-0.043
TmHfRu2,0.253,-0.469
P2Pb2O7,0.246,-0.152
LiAlPt2,0.240,1.081
CaPd3O4,0.174,0.182
MnAlRh2,0.167,-0.106
ScNbOs2,0.150,-0.097
Sc2CoRu,0.150,-0.087
CaCu2O3,0.147,0.652
TbGaRh2,0.145,1.003
Ho2CF2,0.116,-0.217
ErB2Rh2C,0.108,0.276
BeGaRh2,0.093,-0.323
MgS,0.038,-0.027
U2CrN3,0.012,0.377
CuAs,0.010,1.055
ErCdCu4,0.010,0.616
Mn3O4,-0.010,-0.964
LiZnAu2,-0.012,0.549
CrGaP2,-0.012,-0.087
MgSiN2,-0.018,0.178
CeNiC2,-0.037,-0.052
MnSbPd2,-0.047,-0.452
Ti2GaC,-0.051,0.479
Ho2Cr2C3,-0.057,0.012
CeIr2,-0.098,-0.799
K2SnCl6,-0.099,1.375
SmMn2O5,-0.150,-1.484
Hf4N3,-0.169,-0.009
TbNi2,-0.172,0.205
YNiSb,-0.172,0.239
P3N5,-0.216,-0.572
Cs2PbCl6,-0.216,1.031
DyCuSeO,-0.227,-0.738
BaTe2,-0.269,0.107
LaCu2,-0.277,0.005
YMg2,-0.283,0.684
Sc2CdAg,-0.302,-1.256
DyIr3,-0.309,-0.913
AsPdSe,-0.310,-0.696
BaTiS3,-0.316,-0.790
Ho(SiRu)2,-0.319,-0.496
Nd(CoSi)2,-0.329,0.018
Ni2Ge,-0.332,-0.433
ZrH3,-0.335,-0.415
Pr(CoSi)2,-0.342,-0.051
Fe2W,-0.342,-1.171
TiBiRh,-0.344,-0.785
Cs2RbInF6,-0.379,-0.883
TaNiGe,-0.389,-1.054
Fe3Sn2,-0.398,-0.346
NdBPd3,-0.406,-1.090
Mg(BeN)2,-0.415,-0.478
ZrGeTe,-0.430,-0.724
RbSbO3,-0.451,0.038
HfPbO3,-0.458,-2.988
V2C,-0.502,-0.476
CdCl2,-0.521,-1.872
Sr(ZnGe)2,-0.522,0.070
Sc,-0.556,-1.968
In2Se3,-0.569,-2.274
ZnCo3C,-0.589,-1.301
Sc3AlC,-0.608,-0.943
Ba(CdAs)2,-0.640,-0.386
Cu3P,-0.684,-1.596
HoCd3,-0.853,-1.013
TbCd3,-0.875,-1.006
