formula,prediction,density,Density Score,index
SrLi4N2,104.778,0.119,2.649,"(363,)"
Ca3Au,40.200,0.102,1.901,"(6775,)"
Li7Sn2,45.949,0.111,1.852,"(2916,)"
LiErGe,56.022,0.128,1.765,"(2286,)"
LiLuPt2,85.739,0.163,1.719,"(9478,)"
Li3Au,34.330,0.109,1.704,"(4158,)"
Er2ZnRu,84.169,0.166,1.650,"(3576,)"
Rb3Mg,27.170,0.107,1.611,"(11654,)"
LiB,88.085,0.179,1.517,"(6004, 10556, 12002)"
Yb2SbAu,70.466,0.161,1.499,"(1627,)"
Sr6Sn2NO,47.364,0.138,1.479,"(3954,)"
Yb2AgSn,70.260,0.165,1.438,"(3767,)"
Sm2AgSn,71.019,0.167,1.416,"(9664,)"
HoTmMg2,72.078,0.169,1.410,"(7930,)"
CaSmZn2,67.840,0.168,1.354,"(7645,)"
Sr3MnN3,81.322,0.183,1.349,"(3867,)"
LiTmIn2,67.670,0.170,1.322,"(1516,)"
Nd2CdIn,67.784,0.172,1.303,"(1757,)"
Ca3BiSb,37.489,0.140,1.293,"(10141, 12035)"
Pr2ZnHg,61.820,0.170,1.230,"(9747,)"
LiTmHg2,53.004,0.169,1.118,"(7505,)"
NdTmTl2,56.642,0.174,1.090,"(7828,)"
Li4UO5,55.022,0.196,0.746,"(1445,)"
SF6,87.961,0.232,0.731,"(3504,)"
Ca2MnO4,109.261,0.258,0.692,"(6432,)"
Cs2CrCl4,103.019,0.252,0.674,"(8695,)"
Al(SnO2)2,114.064,0.268,0.612,"(12274,)"
Ga2CoS4,111.865,0.269,0.565,"(10915,)"
Cr2FeS4,112.949,0.277,0.458,"(10667,)"
Rb2Cr(BrCl)2,85.872,0.251,0.415,"(6095,)"
CrPO4,101.768,0.269,0.413,"(8423,)"
Sm2Zr2O7,91.654,0.263,0.338,"(1052,)"
Na2Hf2O5,81.459,0.254,0.309,"(5667,)"
ThSiO4,96.586,0.272,0.284,"(5265,)"
TmHfRu2,98.185,0.276,0.253,"(5643,)"
P2Pb2O7,87.475,0.265,0.246,"(2620,)"
LiAlPt2,92.858,0.271,0.240,"(1535,)"
CaPd3O4,90.618,0.273,0.174,"(4907,)"
MnAlRh2,104.009,0.288,0.167,"(4134,)"
ScNbOs2,98.583,0.283,0.150,"(7695,)"
Sc2CoRu,100.144,0.285,0.150,"(1822,)"
CaCu2O3,88.388,0.272,0.147,"(9260,)"
TbGaRh2,95.283,0.280,0.145,"(5903,)"
Ho2CF2,54.348,0.238,0.116,"(5837,)"
ErB2Rh2C,98.262,0.286,0.108,"(9234,)"
BeGaRh2,98.671,0.287,0.093,"(7510,)"
MgS,80.531,0.271,0.038,"(4276, 8303)"
