formula,prediction,density,Peak Score,index
SrLi4N2,104.778,0.119,3.027,"(363,)"
Ca2MnO4,109.261,0.258,1.862,"(6432,)"
Cs2CrCl4,103.019,0.252,1.563,"(8695,)"
K2SnCl6,58.004,0.257,1.375,"(6638,)"
Sr3MnN3,81.322,0.183,1.321,"(3867,)"
LiB,88.085,0.179,1.262,"(6004, 10556, 12002)"
Li7Sn2,45.949,0.111,1.136,"(2916,)"
SF6,87.961,0.232,1.111,"(3504,)"
LiAlPt2,92.858,0.271,1.081,"(1535,)"
CuAs,89.172,0.283,1.055,"(8273,)"
Cs2PbCl6,49.538,0.256,1.031,"(4658,)"
TbGaRh2,95.283,0.280,1.003,"(5903,)"
Cr2FeS4,112.949,0.277,0.956,"(10667,)"
Rb2Cr(BrCl)2,85.872,0.251,0.943,"(6095,)"
Sm2Zr2O7,91.654,0.263,0.930,"(1052,)"
Al(SnO2)2,114.064,0.268,0.821,"(12274,)"
Ga2CoS4,111.865,0.269,0.774,"(10915,)"
YMg2,61.354,0.273,0.684,"(8250,)"
CaCu2O3,88.388,0.272,0.652,"(9260,)"
LiErGe,56.022,0.128,0.633,"(2286,)"
ErCdCu4,92.175,0.286,0.616,"(2222,)"
LiZnAu2,77.255,0.271,0.549,"(1523,)"
LiTmIn2,67.670,0.170,0.548,"(1516,)"
HoTmMg2,72.078,0.169,0.543,"(7930,)"
Li3Au,34.330,0.109,0.525,"(4158,)"
LiLuPt2,85.739,0.163,0.515,"(9478,)"
Ti2GaC,91.099,0.289,0.479,"(2242,)"
Na2Hf2O5,81.459,0.254,0.471,"(5667,)"
Yb2SbAu,70.466,0.161,0.462,"(1627,)"
Sr6Sn2NO,47.364,0.138,0.461,"(3954,)"
Yb2AgSn,70.260,0.165,0.453,"(3767,)"
CaSmZn2,67.840,0.168,0.399,"(7645,)"
U2CrN3,95.312,0.289,0.377,"(4049,)"
Rb3Mg,27.170,0.107,0.372,"(11654,)"
ErB2Rh2C,98.262,0.286,0.276,"(9234,)"
Li4UO5,55.022,0.196,0.254,"(1445,)"
Nd2CdIn,67.784,0.172,0.244,"(1757,)"
YNiSb,64.517,0.269,0.239,"(2184,)"
TbNi2,70.252,0.275,0.205,"(4745,)"
Sm2AgSn,71.019,0.167,0.195,"(9664,)"
CaPd3O4,90.618,0.273,0.182,"(4907,)"
MgSiN2,83.576,0.279,0.178,"(996, 8349, 10192)"
BaTe2,41.551,0.251,0.107,"(2594,)"
Er2ZnRu,84.169,0.166,0.099,"(3576,)"
